length	BH01_orig	IA05_orig	IA06_orig	IA07_orig	IA08_orig	IC15_orig	IC17_orig	IC20_orig	IC49_orig	IC50_orig	IC51_orig	IC52_orig	IH01_orig	IH02_orig	BH01_frag	IA05_frag	IA06_frag	IA07_frag	IA08_frag	IC15_frag	IC17_frag	IC20_frag	IC49_frag	IC50_frag	IC51_frag	IC52_frag	IH01_frag	IH02_frag
209	2825970	161762	181913	166164	132818	74083	125424	152337	252649	179351	230117	206663	5168116	160901	3138916	178424	197508	185941	146278	206016	520369	304083	273974	204439	257028	229461	5539743	412534
210	2677398	154155	171538	155657	124042	71257	119459	144549	239894	168999	216640	195497	4922925	150484	2976162	170083	185979	174176	136801	198611	494351	287777	260092	192336	242094	216927	5279413	386536
211	2513862	142928	160857	142963	115840	67767	112407	137550	226156	158619	202372	184793	4643220	140286	2794516	157942	174571	159918	127671	190250	469454	273955	245280	180527	226130	205132	4979954	361316
212	2345845	133020	149110	130927	107305	64432	105944	129900	211919	146002	187085	171694	4332699	132173	2605716	146612	161832	146341	118288	181870	443691	259256	229634	166103	208741	190301	4648302	339663
213	2176388	124334	137202	119140	98954	62156	101245	122362	196484	134209	172765	158959	4016104	124448	2418870	137181	148875	133342	108801	175365	419493	244729	213221	153126	192675	176261	4312542	318958
214	2011625	114311	126271	108536	91495	59380	94747	115420	182596	124462	158527	147225	3720848	116407	2236417	126156	137170	121629	100647	166315	396733	231565	198224	141661	177487	163235	3995769	300291
215	1871959	107081	115919	99168	84912	56342	90757	109889	170832	115585	146515	135951	3463692	110362	2080620	118188	125878	110743	93483	158127	375450	219559	185415	131368	163529	150573	3717797	283606
216	1746429	101369	107744	90816	78907	53996	85651	104179	161703	107587	136644	127371	3231553	103055	1942100	111755	117047	101635	86794	151178	357832	209131	175604	122444	152435	141299	3470515	266722
217	1641925	96945	100046	84083	74498	51589	81854	98911	153578	101364	127809	120195	3034342	98292	1824800	106815	108505	93755	81823	145519	339885	198764	166802	115306	142748	133541	3258474	253760
218	1558082	92768	93794	78308	70899	49540	77823	94492	147336	96436	120537	114384	2865098	93033	1730641	102389	101873	87311	77970	139545	323208	189441	159925	109735	134515	126715	3079045	240997
219	1477930	89231	87943	73158	67196	47650	74777	90578	140490	90872	112902	108387	2707941	87858	1643261	98406	95572	81614	73993	134896	310917	181766	152686	103361	125954	120139	2909852	228206
220	1402859	85736	82855	67442	64006	46586	71263	86494	134890	85410	106143	104640	2549116	83319	1559332	94493	89843	75263	70405	132530	296465	175112	146362	96989	118382	115913	2739289	217205
221	1325000	81459	77520	61531	60835	45662	69598	83909	128450	80238	99813	98564	2390676	79479	1472977	89945	84159	68986	67052	129803	287190	169013	139465	91050	111543	109293	2569272	205875
222	1243534	76891	72240	57279	56831	44289	66184	80321	121166	74711	92905	93835	2216850	75764	1382125	84855	78327	63943	62365	126478	274460	161811	131654	84856	103666	104015	2383312	195863
223	1161750	72755	65931	52380	52990	43112	63771	76873	114111	69496	85525	88711	2046591	71847	1291246	80296	71593	58266	58343	123162	264366	154451	123911	79236	95196	98387	2200594	186362
224	1082733	68166	60656	47679	49912	42434	60856	73986	107840	65475	78621	83384	1890969	68282	1203165	75369	65639	53032	54962	120316	253780	149089	117077	74207	87908	92232	2033003	176748
225	1007944	64940	56022	43286	46646	40594	58201	70035	101685	61072	73045	78009	1742728	64881	1120024	71635	60721	48311	51158	114877	241913	142449	110388	69351	81444	86551	1873349	169686
226	941522	62131	51351	39453	44420	38956	55599	66663	95822	57154	67952	74036	1611254	62213	1045395	68520	55673	44143	48876	110256	231062	135745	104335	65157	75833	82145	1733980	162573
227	886385	60224	47873	36347	42432	37324	53020	63960	92483	54835	63241	70204	1501264	59437	984110	66458	51799	40559	46598	106307	220631	130124	100611	62282	70683	77867	1616081	155163
228	837880	58028	44586	33638	40891	36365	50856	61740	88308	52359	59478	66844	1401351	56591	930075	64203	48463	37633	45022	103474	211446	125931	95808	59300	66495	74194	1507718	148775
